Name,LIC_NAME,BLK_HOUSE,STR_NAME,UNIT_NO,POSTCODE,Latitude,Longitude
kml_1,OMU PTE. LTD.,3,TEMASEK BOULEVARD,301A,38983,1.294879051,103.8576755
kml_2,COLD STORAGE SINGAPORE (1983) PTE LTD,3,TEMASEK BOULEVARD,301C,38983,1.294879051,103.8576755
kml_3,SF (JURONG) PTE. LTD.,3,TEMASEK BOULEVARD,304,38983,1.294879051,103.8576755
kml_4,IPPUDO SINGAPORE PTE. LTD.,2,BAYFRONT AVENUE,54/55,18972,1.283558725,103.8585057
kml_5,KOUFU PTE LTD,2,BAYFRONT AVENUE,1,18972,1.283558725,103.8585057
kml_6,SARIKA CONNOISSEUR CAFE PTE LTD,2,BAYFRONT AVENUE,,18972,1.283558725,103.8585057
kml_7,MARINA BAY SANDS PTE. LTD.,2,BAYFRONT AVENUE,77,18972,1.283558725,103.8585057
kml_8,BREADTALK PTE LTD,2,BAYFRONT AVENUE,62,18972,1.283558725,103.8585057
kml_9,MARINA BAY SANDS PTE. LTD.,2,BAYFRONT AVENUE,81,18972,1.283558725,103.8585057
kml_10,Z YOGURT THREE PTE. LTD.,2,BAYFRONT AVENUE,56A,18972,1.283558725,103.8585057
kml_11,BLUEBELL SINGAPORE PTE. LTD.,2,BAYFRONT AVENUE,K15,18972,1.283558725,103.8585057
kml_12,RE GLOBAL HOSPITALITY PTE. LTD.,2,BAYFRONT AVENUE,89,18972,1.283558725,103.8585057
kml_13,FABCAFE PTE LTD,6,BAYFRONT AVENUE,,18974,1.286223964,103.8592711
kml_14,BLVD HOLDING PTE. LTD.,8,MARINA BOULEVARD,2,18981,1.279468119,103.8537496
kml_15,LEVEL33 PTE. LTD.,8,MARINA BOULEVARD,1,18981,1.279468119,103.8537496
kml_16,NANASANGO PTE LTD,8,MARINA BOULEVARD,67,18981,1.279468119,103.8537496
kml_17,MARINA BAY MINI WOK PTE LTD,12,MARINA BOULEVARD,1,18982,1.279105679,103.8542974
kml_18,QU HONGXIA,12,MARINA BOULEVARD,1,18982,1.279105679,103.8542974
kml_19,TAN CHOW YEA,12,MARINA BOULEVARD,1,18982,1.279105679,103.8542974
kml_20,NTUC FOODFARE CO-OPERATIVE LTD,12,MARINA BOULEVARD,1,18982,1.279105679,103.8542974
kml_21,STARBUCKS COFFEE SINGAPORE PTE. LTD.,12,MARINA BOULEVARD,35,18982,1.279105679,103.8542974
kml_22,CHILLI API CATERING PTE. LTD.,12,MARINA BOULEVARD,40,18982,1.279105679,103.8542974
kml_23,MOS FOODS SINGAPORE PTE. LTD.,12,MARINA BOULEVARD,3,18982,1.279105679,103.8542974
kml_24,KOPI KING PTE. LTD.,12,MARINA BOULEVARD,4,18982,1.279105679,103.8542974
kml_25,FLOC PRIVATE LIMITED,12,MARINA BOULEVARD,2,18982,1.279105679,103.8542974
kml_26,MISAKI JAPANESE RESTAURANT PTE. LTD.,12,MARINA BOULEVARD,8,18982,1.279105679,103.8542974
kml_27,BREADTALK PTE LTD,8A,MARINA BOULEVARD,18,18984,1.280227686,103.8533493
kml_28,STARBUCKS COFFEE SINGAPORE PTE. LTD.,8A,MARINA BOULEVARD,38/39,18984,1.280227686,103.8533493
kml_29,WOLVES SG PTE. LTD.,8A,MARINA BOULEVARD,47,18984,1.280227686,103.8533493
kml_30,IMPERIAL TREASURE FINE DINING RESTAURANT PTE. LTD.,8,BAYFRONT AVENUE,4,18955,1.2840627,103.8595228
kml_31,LONG CHIM (SINGAPORE) PTE. LTD.,8,BAYFRONT AVENUE,2,18955,1.2840627,103.8595228
kml_32,MARINA BAY SANDS PTE. LTD.,10,BAYFRONT AVENUE,,18956,1.282333365,103.8583084
kml_33,ROYAL T GROUP PTE. LTD.,10,BAYFRONT AVENUE,72,18956,1.282333365,103.8583084
kml_34,MARINA BAY SANDS PTE. LTD.,10,BAYFRONT AVENUE,,18956,1.282333365,103.8583084
kml_35,MARINA BAY SANDS PTE. LTD.,10,BAYFRONT AVENUE,,18956,1.282333365,103.8583084
kml_36,MARINA BAY SANDS PTE. LTD.,10,BAYFRONT AVENUE,,18956,1.282333365,103.8583084
kml_37,MARINA BAY SANDS PTE. LTD.,10,BAYFRONT AVENUE,,18956,1.282333365,103.8583084
kml_38,MARINA BAY SANDS PTE. LTD.,10,BAYFRONT AVENUE,1,18956,1.282333365,103.8583084
kml_39,MARINA BAY SANDS PTE. LTD.,10,BAYFRONT AVENUE,,18956,1.282333365,103.8583084
kml_40,MARINA BAY SANDS PTE. LTD.,10,BAYFRONT AVENUE,0,18956,1.282333365,103.8583084
kml_41,CANTON PARADISE PTE. LTD.,10,BAYFRONT AVENUE,2,18956,1.282333365,103.8583084
kml_42,PHOLOSOPHY PTE. LTD.,8,MARINA VIEW,14,18960,1.279007974,103.8511035
kml_43,BREADTALK PTE LTD,8,MARINA VIEW,6,18960,1.279007974,103.8511035
kml_44,ARTEMIS FINE FOODS A.S. PTE LTD,8,MARINA VIEW,11,18960,1.279007974,103.8511035
kml_45,IMPERIAL TREASURE CANTONESE CUISINE PTE. LTD.,8,MARINA VIEW,,18960,1.279007974,103.8511035
kml_46,SO GOOD BAKERY PTE. LTD.,8,MARINA VIEW,18,18960,1.279007974,103.8511035
kml_47,SATOYU TRADING PTE LTD,8,MARINA VIEW,12,18960,1.279007974,103.8511035
kml_48,THE SOUP SPOON PTE LTD,8,MARINA VIEW,13,18960,1.279007974,103.8511035
kml_49,THE EXCHANGE ASIA SQUARE PTE LTD,8,MARINA VIEW,5,18960,1.279007974,103.8511035
kml_50,EUN HYE PTE. LTD.,8,MARINA VIEW,17,18960,1.279007974,103.8511035
kml_51,COMPASS GROUP (SINGAPORE) PTE. LTD.,8,MARINA VIEW,,18960,1.279007974,103.8511035
kml_52,EXTRA VIRGIN PIZZA PTE. LTD.,8,MARINA VIEW,4,18960,1.279007974,103.8511035
kml_53,YCP DINING SINGAPORE PTE. LTD.,8,MARINA VIEW,5,18960,1.279007974,103.8511035
kml_54,HAN HOLDING COMPANY PTE. LTD.,8,MARINA VIEW,3 Apr,18960,1.279007974,103.8511035
kml_55,ZION REMNANT PTE. LTD.,12,MARINA VIEW,7,18961,1.278307303,103.8507952
