Name,Description,AWARDED_DATE,LANDYADDRESSPOINT,PHOTOURL,ADDRESSBLOCKHOUSENUMBER,DESCRIPTION,EST_ORIGINAL_COMPLETION_DATE,STATUS,APPROXIMATE_GFA,INFO_ON_CO_LOCATORS,NAME,ADDRESSBUILDINGNAME,HUP_COMPLETION_DATE,LANDXADDRESSPOINT,ADDRESSSTREETNAME,ADDRESSPOSTALCODE,IMPLEMENTATION_DATE,ADDRESS_MYENV,INC_CRC,FMEL_UPD_D,Latitude,Longitude
kml_1,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>AWARDED_DATE</th> <td>17/7/2017</td> </tr><tr bgcolor=""""> <th>LANDYADDRESSPOINT</th> <td>29650.7</td> </tr><tr bgcolor=""#E3E3F3""> <th>PHOTOURL</th> <td></td> </tr><tr bgcolor=""""> <th>ADDRESSBLOCKHOUSENUMBER</th> <td>50</td> </tr><tr bgcolor=""#E3E3F3""> <th>DESCRIPTION</th> <td>New Replacement Centre</td> </tr><tr bgcolor=""""> <th>EST_ORIGINAL_COMPLETION_DATE</th> <td>15/11/2021</td> </tr><tr bgcolor=""#E3E3F3""> <th>STATUS</th> <td>Existing (replacement)</td> </tr><tr bgcolor=""""> <th>APPROXIMATE_GFA</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>INFO_ON_CO_LOCATORS</th> <td>hawker centre/commercial space</td> </tr><tr bgcolor=""""> <th>NAME</th> <td>Market Street Hawker Centre</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSBUILDINGNAME</th> <td>CapitaSpring</td> </tr><tr bgcolor=""""> <th>HUP_COMPLETION_DATE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>LANDXADDRESSPOINT</th> <td>29874.82</td> </tr><tr bgcolor=""""> <th>ADDRESSSTREETNAME</th> <td>Market Street</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSPOSTALCODE</th> <td>48940</td> </tr><tr bgcolor=""""> <th>IMPLEMENTATION_DATE</th> <td>1/8/2017</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESS_MYENV</th> <td></td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>DB83871D0E006559</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20221017143612</td> </tr></table></center>",17/7/2017,29650.7,,50,New Replacement Centre,15/11/2021,Existing (replacement),,hawker centre/commercial space,Market Street Hawker Centre,CapitaSpring,,29874.82,Market Street,48940,1/8/2017,,DB83871D0E006559,20221017143612,1.2844248503218,103.850164578087
kml_2,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>AWARDED_DATE</th> <td>4/9/2015</td> </tr><tr bgcolor=""""> <th>LANDYADDRESSPOINT</th> <td>46139.03</td> </tr><tr bgcolor=""#E3E3F3""> <th>PHOTOURL</th> <td>http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/mmhc.jpg</td> </tr><tr bgcolor=""""> <th>ADDRESSBLOCKHOUSENUMBER</th> <td>4</td> </tr><tr bgcolor=""#E3E3F3""> <th>DESCRIPTION</th> <td>New Replacement Centre</td> </tr><tr bgcolor=""""> <th>EST_ORIGINAL_COMPLETION_DATE</th> <td>8/11/2017</td> </tr><tr bgcolor=""#E3E3F3""> <th>STATUS</th> <td>Existing (replacement)</td> </tr><tr bgcolor=""""> <th>APPROXIMATE_GFA</th> <td>3661</td> </tr><tr bgcolor=""#E3E3F3""> <th>INFO_ON_CO_LOCATORS</th> <td>hawker centre/supermarket/shops</td> </tr><tr bgcolor=""""> <th>NAME</th> <td>Marsiling Mall Hawker Centre</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSBUILDINGNAME</th> <td>Marsiling Mall</td> </tr><tr bgcolor=""""> <th>HUP_COMPLETION_DATE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>LANDXADDRESSPOINT</th> <td>22042.51</td> </tr><tr bgcolor=""""> <th>ADDRESSSTREETNAME</th> <td>Woodlands Street 12</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSPOSTALCODE</th> <td>738623</td> </tr><tr bgcolor=""""> <th>IMPLEMENTATION_DATE</th> <td>1/1/2016</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESS_MYENV</th> <td>Blk 4,Woodlands St 12,Singaporeï¿½738623</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>67D9A36B865FC1FB</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20221017143612</td> </tr></table></center>",4/9/2015,46139.03,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/mmhc.jpg,4,New Replacement Centre,8/11/2017,Existing (replacement),3661,hawker centre/supermarket/shops,Marsiling Mall Hawker Centre,Marsiling Mall,,22042.51,Woodlands Street 12,738623,1/1/2016,"Blk 4,Woodlands St 12,Singaporeï¿½738623",67D9A36B865FC1FB,20221017143612,1.43353885680037,103.779784899996
kml_3,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>AWARDED_DATE</th> <td>11/5/2015</td> </tr><tr bgcolor=""""> <th>LANDYADDRESSPOINT</th> <td>31094.91</td> </tr><tr bgcolor=""#E3E3F3""> <th>PHOTOURL</th> <td></td> </tr><tr bgcolor=""""> <th>ADDRESSBLOCKHOUSENUMBER</th> <td>38A</td> </tr><tr bgcolor=""#E3E3F3""> <th>DESCRIPTION</th> <td>New Replacement Centre</td> </tr><tr bgcolor=""""> <th>EST_ORIGINAL_COMPLETION_DATE</th> <td>30/3/2022</td> </tr><tr bgcolor=""#E3E3F3""> <th>STATUS</th> <td>Existing (replacement)</td> </tr><tr bgcolor=""""> <th>APPROXIMATE_GFA</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>INFO_ON_CO_LOCATORS</th> <td>hawker centre/branch office/supermarket/shops/flats</td> </tr><tr bgcolor=""""> <th>NAME</th> <td>Margaret Drive Hawker Centre</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSBUILDINGNAME</th> <td></td> </tr><tr bgcolor=""""> <th>HUP_COMPLETION_DATE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>LANDXADDRESSPOINT</th> <td>24816.7</td> </tr><tr bgcolor=""""> <th>ADDRESSSTREETNAME</th> <td>Margaret Drive</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSPOSTALCODE</th> <td>142038</td> </tr><tr bgcolor=""""> <th>IMPLEMENTATION_DATE</th> <td>2/12/2015</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESS_MYENV</th> <td></td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>C80F89698B7A8757</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20221017143612</td> </tr></table></center>",11/5/2015,31094.91,,38A,New Replacement Centre,30/3/2022,Existing (replacement),,hawker centre/branch office/supermarket/shops/flats,Margaret Drive Hawker Centre,,,24816.7,Margaret Drive,142038,2/12/2015,,C80F89698B7A8757,20221017143612,1.29748567106686,103.804715225285
kml_4,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>AWARDED_DATE</th> <td>30/7/2018</td> </tr><tr bgcolor=""""> <th>LANDYADDRESSPOINT</th> <td>41500.77</td> </tr><tr bgcolor=""#E3E3F3""> <th>PHOTOURL</th> <td></td> </tr><tr bgcolor=""""> <th>ADDRESSBLOCKHOUSENUMBER</th> <td>21</td> </tr><tr bgcolor=""#E3E3F3""> <th>DESCRIPTION</th> <td>New Centre</td> </tr><tr bgcolor=""""> <th>EST_ORIGINAL_COMPLETION_DATE</th> <td>22/3/2022</td> </tr><tr bgcolor=""#E3E3F3""> <th>STATUS</th> <td>Existing (new)</td> </tr><tr bgcolor=""""> <th>APPROXIMATE_GFA</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>INFO_ON_CO_LOCATORS</th> <td>hawker centre/market/community club</td> </tr><tr bgcolor=""""> <th>NAME</th> <td>Fernvale Hawker Centre & Market</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSBUILDINGNAME</th> <td>Fernvale Community Club, Hawker Centre & Market</td> </tr><tr bgcolor=""""> <th>HUP_COMPLETION_DATE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>LANDXADDRESSPOINT</th> <td>32867.9</td> </tr><tr bgcolor=""""> <th>ADDRESSSTREETNAME</th> <td>Sengkang West Avenue</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSPOSTALCODE</th> <td>797650</td> </tr><tr bgcolor=""""> <th>IMPLEMENTATION_DATE</th> <td>13/8/2018</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESS_MYENV</th> <td></td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>E3AB7D1743979E42</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20221017143612</td> </tr></table></center>",30/7/2018,41500.77,,21,New Centre,22/3/2022,Existing (new),,hawker centre/market/community club,Fernvale Hawker Centre & Market,"Fernvale Community Club, Hawker Centre & Market",,32867.9,Sengkang West Avenue,797650,13/8/2018,,E3AB7D1743979E42,20221017143612,1.39159232727757,103.877060478847
kml_5,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>AWARDED_DATE</th> <td>8/8/2018</td> </tr><tr bgcolor=""""> <th>LANDYADDRESSPOINT</th> <td>43336.13</td> </tr><tr bgcolor=""#E3E3F3""> <th>PHOTOURL</th> <td></td> </tr><tr bgcolor=""""> <th>ADDRESSBLOCKHOUSENUMBER</th> <td>1</td> </tr><tr bgcolor=""#E3E3F3""> <th>DESCRIPTION</th> <td>New Centre</td> </tr><tr bgcolor=""""> <th>EST_ORIGINAL_COMPLETION_DATE</th> <td>29/4/2022</td> </tr><tr bgcolor=""#E3E3F3""> <th>STATUS</th> <td>Existing (new)</td> </tr><tr bgcolor=""""> <th>APPROXIMATE_GFA</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>INFO_ON_CO_LOCATORS</th> <td>hawker centre/Regional Library/Senior Care Centre/Branch Office/Child Development Centre/Blood Collection Centre/Kidney Dialysis Centre/Childcare Centre</td> </tr><tr bgcolor=""""> <th>NAME</th> <td>One Punggol Hawker Centre</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSBUILDINGNAME</th> <td>One Punggol</td> </tr><tr bgcolor=""""> <th>HUP_COMPLETION_DATE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>LANDXADDRESSPOINT</th> <td>35955.52</td> </tr><tr bgcolor=""""> <th>ADDRESSSTREETNAME</th> <td>Punggol Drive</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSPOSTALCODE</th> <td>828629</td> </tr><tr bgcolor=""""> <th>IMPLEMENTATION_DATE</th> <td>29/8/2018</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESS_MYENV</th> <td></td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>4780858D968F79C9</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20221017143612</td> </tr></table></center>",8/8/2018,43336.13,,1,New Centre,29/4/2022,Existing (new),,hawker centre/Regional Library/Senior Care Centre/Branch Office/Child Development Centre/Blood Collection Centre/Kidney Dialysis Centre/Childcare Centre,One Punggol Hawker Centre,One Punggol,,35955.52,Punggol Drive,828629,29/8/2018,,4780858D968F79C9,20221017143612,1.40818996870647,103.904805657576
kml_6,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>AWARDED_DATE</th> <td>1/5/2018</td> </tr><tr bgcolor=""""> <th>LANDYADDRESSPOINT</th> <td>47850.43</td> </tr><tr bgcolor=""#E3E3F3""> <th>PHOTOURL</th> <td></td> </tr><tr bgcolor=""""> <th>ADDRESSBLOCKHOUSENUMBER</th> <td>21</td> </tr><tr bgcolor=""#E3E3F3""> <th>DESCRIPTION</th> <td>New Centre</td> </tr><tr bgcolor=""""> <th>EST_ORIGINAL_COMPLETION_DATE</th> <td>27/9/2022</td> </tr><tr bgcolor=""#E3E3F3""> <th>STATUS</th> <td>Existing (new)</td> </tr><tr bgcolor=""""> <th>APPROXIMATE_GFA</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>INFO_ON_CO_LOCATORS</th> <td>hawker centre/Town Sports and Recreational Centre/Primary Care Centre & Senior Care Centre</td> </tr><tr bgcolor=""""> <th>NAME</th> <td>Bukit Canberra Hawker Centre</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSBUILDINGNAME</th> <td>Bukit Canberra</td> </tr><tr bgcolor=""""> <th>HUP_COMPLETION_DATE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>LANDXADDRESSPOINT</th> <td>26794.39</td> </tr><tr bgcolor=""""> <th>ADDRESSSTREETNAME</th> <td>Canberra Link</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSPOSTALCODE</th> <td>756973</td> </tr><tr bgcolor=""""> <th>IMPLEMENTATION_DATE</th> <td>17/5/2018</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESS_MYENV</th> <td></td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>B85FF6B6AA88649C</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20221017143612</td> </tr></table></center>",1/5/2018,47850.43,,21,New Centre,27/9/2022,Existing (new),,hawker centre/Town Sports and Recreational Centre/Primary Care Centre & Senior Care Centre,Bukit Canberra Hawker Centre,Bukit Canberra,,26794.39,Canberra Link,756973,17/5/2018,,B85FF6B6AA88649C,20221017143612,1.44901674160031,103.822484958307
kml_7,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>AWARDED_DATE</th> <td>11/12/2018</td> </tr><tr bgcolor=""""> <th>LANDYADDRESSPOINT</th> <td>41008.06</td> </tr><tr bgcolor=""#E3E3F3""> <th>PHOTOURL</th> <td></td> </tr><tr bgcolor=""""> <th>ADDRESSBLOCKHOUSENUMBER</th> <td>2</td> </tr><tr bgcolor=""#E3E3F3""> <th>DESCRIPTION</th> <td>New Centre</td> </tr><tr bgcolor=""""> <th>EST_ORIGINAL_COMPLETION_DATE</th> <td>28/7/2022</td> </tr><tr bgcolor=""#E3E3F3""> <th>STATUS</th> <td>Existing (new)</td> </tr><tr bgcolor=""""> <th>APPROXIMATE_GFA</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>INFO_ON_CO_LOCATORS</th> <td></td> </tr><tr bgcolor=""""> <th>NAME</th> <td>Senja Hawker Centre</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSBUILDINGNAME</th> <td></td> </tr><tr bgcolor=""""> <th>HUP_COMPLETION_DATE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>LANDXADDRESSPOINT</th> <td>19953.85</td> </tr><tr bgcolor=""""> <th>ADDRESSSTREETNAME</th> <td>Senja Close</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSPOSTALCODE</th> <td>677632</td> </tr><tr bgcolor=""""> <th>IMPLEMENTATION_DATE</th> <td>1/3/2019</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESS_MYENV</th> <td></td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>739D3B1889BF778F</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20221017143612</td> </tr></table></center>",11/12/2018,41008.06,,2,New Centre,28/7/2022,Existing (new),,,Senja Hawker Centre,,,19953.85,Senja Close,677632,1/3/2019,,739D3B1889BF778F,20221017143612,1.38713573069818,103.761017756804
kml_8,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>AWARDED_DATE</th> <td>18/9/2019</td> </tr><tr bgcolor=""""> <th>LANDYADDRESSPOINT</th> <td>40482.99</td> </tr><tr bgcolor=""#E3E3F3""> <th>PHOTOURL</th> <td></td> </tr><tr bgcolor=""""> <th>ADDRESSBLOCKHOUSENUMBER</th> <td>72</td> </tr><tr bgcolor=""#E3E3F3""> <th>DESCRIPTION</th> <td>New Centre</td> </tr><tr bgcolor=""""> <th>EST_ORIGINAL_COMPLETION_DATE</th> <td>2023</td> </tr><tr bgcolor=""#E3E3F3""> <th>STATUS</th> <td>Under Construction</td> </tr><tr bgcolor=""""> <th>APPROXIMATE_GFA</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>INFO_ON_CO_LOCATORS</th> <td>hawker centre/community club/bus interchange/private residential and commercial units</td> </tr><tr bgcolor=""""> <th>NAME</th> <td>Buangkok Hawker Centre</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSBUILDINGNAME</th> <td>Sengkang Grand Mall</td> </tr><tr bgcolor=""""> <th>HUP_COMPLETION_DATE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>LANDXADDRESSPOINT</th> <td>34575.37</td> </tr><tr bgcolor=""""> <th>ADDRESSSTREETNAME</th> <td>Compassvale Bow</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSPOSTALCODE</th> <td>544692</td> </tr><tr bgcolor=""""> <th>IMPLEMENTATION_DATE</th> <td>29/10/2019</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESS_MYENV</th> <td></td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>0FFF4B5257E65F57</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20221017143612</td> </tr></table></center>",18/9/2019,40482.99,,72,New Centre,2023,Under Construction,,hawker centre/community club/bus interchange/private residential and commercial units,Buangkok Hawker Centre,Sengkang Grand Mall,,34575.37,Compassvale Bow,544692,29/10/2019,,0FFF4B5257E65F57,20221017143612,1.38238755827879,103.892403203249
kml_9,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>AWARDED_DATE</th> <td>31/12/2020</td> </tr><tr bgcolor=""""> <th>LANDYADDRESSPOINT</th> <td>37478.45</td> </tr><tr bgcolor=""#E3E3F3""> <th>PHOTOURL</th> <td></td> </tr><tr bgcolor=""""> <th>ADDRESSBLOCKHOUSENUMBER</th> <td>469A</td> </tr><tr bgcolor=""#E3E3F3""> <th>DESCRIPTION</th> <td>New Centre</td> </tr><tr bgcolor=""""> <th>EST_ORIGINAL_COMPLETION_DATE</th> <td>2024</td> </tr><tr bgcolor=""#E3E3F3""> <th>STATUS</th> <td>Under Construction</td> </tr><tr bgcolor=""""> <th>APPROXIMATE_GFA</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>INFO_ON_CO_LOCATORS</th> <td>hawker centre/flats</td> </tr><tr bgcolor=""""> <th>NAME</th> <td>Bukit Batok West Hawker Centre</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSBUILDINGNAME</th> <td>Harmony Village</td> </tr><tr bgcolor=""""> <th>HUP_COMPLETION_DATE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>LANDXADDRESSPOINT</th> <td>17817.9</td> </tr><tr bgcolor=""""> <th>ADDRESSSTREETNAME</th> <td>Bukit Batok West Avenue 9</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSPOSTALCODE</th> <td>651469</td> </tr><tr bgcolor=""""> <th>IMPLEMENTATION_DATE</th> <td>21/1/2021</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESS_MYENV</th> <td></td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>E3C2D62809A47B74</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20221017143612</td> </tr></table></center>",31/12/2020,37478.45,,469A,New Centre,2024,Under Construction,,hawker centre/flats,Bukit Batok West Hawker Centre,Harmony Village,,17817.9,Bukit Batok West Avenue 9,651469,21/1/2021,,E3C2D62809A47B74,20221017143612,1.35521457121361,103.741825836536
kml_10,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>AWARDED_DATE</th> <td>29/4/2022</td> </tr><tr bgcolor=""""> <th>LANDYADDRESSPOINT</th> <td>28414.9</td> </tr><tr bgcolor=""#E3E3F3""> <th>PHOTOURL</th> <td></td> </tr><tr bgcolor=""""> <th>ADDRESSBLOCKHOUSENUMBER</th> <td>78C</td> </tr><tr bgcolor=""#E3E3F3""> <th>DESCRIPTION</th> <td>New Replacement Centre</td> </tr><tr bgcolor=""""> <th>EST_ORIGINAL_COMPLETION_DATE</th> <td>2027</td> </tr><tr bgcolor=""#E3E3F3""> <th>STATUS</th> <td>Under Construction</td> </tr><tr bgcolor=""""> <th>APPROXIMATE_GFA</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>INFO_ON_CO_LOCATORS</th> <td>hawker centre/market/flats</td> </tr><tr bgcolor=""""> <th>NAME</th> <td>Telok Blangah Hawker Centre & Market</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSBUILDINGNAME</th> <td>Telok Blangah Beacon</td> </tr><tr bgcolor=""""> <th>HUP_COMPLETION_DATE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>LANDXADDRESSPOINT</th> <td>25191</td> </tr><tr bgcolor=""""> <th>ADDRESSSTREETNAME</th> <td>Telok Blangah Drive</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESSPOSTALCODE</th> <td>103078</td> </tr><tr bgcolor=""""> <th>IMPLEMENTATION_DATE</th> <td>20/5/2022</td> </tr><tr bgcolor=""#E3E3F3""> <th>ADDRESS_MYENV</th> <td></td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>9BBE5ECFD4BA48D6</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20221017143612</td> </tr></table></center>",29/4/2022,28414.9,,78C,New Replacement Centre,2027,Under Construction,,hawker centre/market/flats,Telok Blangah Hawker Centre & Market,Telok Blangah Beacon,,25191,Telok Blangah Drive,103078,20/5/2022,,9BBE5ECFD4BA48D6,20221017143612,1.27324863952078,103.808078713674
