Name,Description,STATION_NA,EXIT_CODE,INC_CRC,FMEL_UPD_D,Latitude,Longitude
kml_1,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>KAKI BUKIT MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit B</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>D3065772B4A8884B</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",KAKI BUKIT MRT STATION,Exit B,D3065772B4A8884B,20230127204435,1.33492189034272,103.909146276263
kml_2,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>BEDOK RESERVOIR MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit B</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>D9EF7EDA7B6AE00E</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",BEDOK RESERVOIR MRT STATION,Exit B,D9EF7EDA7B6AE00E,20230127204435,1.33655490332863,103.933487189855
kml_3,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>BENCOOLEN MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit C</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>B84D682A36C94724</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",BENCOOLEN MRT STATION,Exit C,B84D682A36C94724,20230127204435,1.29769911765443,103.849271703873
kml_4,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>BENCOOLEN MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit A</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>58C4E2D41BF56E13</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",BENCOOLEN MRT STATION,Exit A,58C4E2D41BF56E13,20230127204435,1.29919519603019,103.850843384717
kml_5,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>KAKI BUKIT MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit A</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>C7859F14611E3E46</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",KAKI BUKIT MRT STATION,Exit A,C7859F14611E3E46,20230127204435,1.33531120636956,103.909405098626
kml_6,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>TAMPINES WEST MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit B</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>538DEFEDB8DF426A</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",TAMPINES WEST MRT STATION,Exit B,538DEFEDB8DF426A,20230127204435,1.34499919751448,103.938948503782
kml_7,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>JALAN BESAR MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit A</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>1DF95F048432E540</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",JALAN BESAR MRT STATION,Exit A,1DF95F048432E540,20230127204435,1.30488989412929,103.855296125414
kml_8,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>BENDEMEER MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit A</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>CC5340F062D36648</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",BENDEMEER MRT STATION,Exit A,CC5340F062D36648,20230127204435,1.31385250562225,103.863074005937
kml_9,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>BEDOK NORTH MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit C</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>7227ED6E51A0A478</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",BEDOK NORTH MRT STATION,Exit C,7227ED6E51A0A478,20230127204435,1.33442257655151,103.917810526029
kml_10,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>STATION_NA</th> <td>UPPER CHANGI MRT STATION</td> </tr><tr bgcolor=""""> <th>EXIT_CODE</th> <td>Exit D</td> </tr><tr bgcolor=""#E3E3F3""> <th>INC_CRC</th> <td>DCF272AB67E90046</td> </tr><tr bgcolor=""""> <th>FMEL_UPD_D</th> <td>20230127204435</td> </tr></table></center>",UPPER CHANGI MRT STATION,Exit D,DCF272AB67E90046,20230127204435,1.34084047406433,103.961043080709
