SEARCHVAL,BLK_NO,ROAD_NAME,BUILDING,ADDRESS,POSTAL,X,Y,LATITUDE,LONGITUDE,error
ADMIRALTY PRIMARY SCHOOL,11,WOODLANDS CIRCLE,ADMIRALTY PRIMARY SCHOOL,11 WOODLANDS CIRCLE ADMIRALTY PRIMARY SCHOOL SINGAPORE 738907,738907,24296.6250855923,47144.7700594738,1.4426347903311,103.800040119743,
AHMAD IBRAHIM PRIMARY SCHOOL,10,YISHUN STREET 11,AHMAD IBRAHIM PRIMARY SCHOOL,10 YISHUN STREET 11 AHMAD IBRAHIM PRIMARY SCHOOL SINGAPORE 768643,768643,27958.1371433474,46096.2627680488,1.43315271543517,103.832942401086,
AI TONG SCHOOL,100,BRIGHT HILL DRIVE,AI TONG SCHOOL,100 BRIGHT HILL DRIVE AI TONG SCHOOL SINGAPORE 579646,579646,27966.8088298785,38071.9191181567,1.3605834338904,103.833020333986,
ALEXANDRA PRIMARY SCHOOL,2A,PRINCE CHARLES CRESCENT,ALEXANDRA PRIMARY SCHOOL,2A PRINCE CHARLES CRESCENT ALEXANDRA PRIMARY SCHOOL SINGAPORE 159016,159016,27010.1854815315,30414.7169698272,1.29133439161334,103.824424680531,
ANCHOR GREEN PRIMARY SCHOOL,31,ANCHORVALE DRIVE,ANCHOR GREEN PRIMARY SCHOOL,31 ANCHORVALE DRIVE ANCHOR GREEN PRIMARY SCHOOL SINGAPORE 544969,544969,33992.4459471293,41365.6329499111,1.39036998654612,103.887165375933,
ANDERSON PRIMARY SCHOOL,19,ANG MO KIO AVENUE 9,ANDERSON PRIMARY SCHOOL,19 ANG MO KIO AVENUE 9 ANDERSON PRIMARY SCHOOL SINGAPORE 569785,569785,28898.4776482461,40690.4297215287,1.38426429436736,103.841392081119,
ANGLO-CHINESE SCHOOL (JUNIOR),16,WINSTEDT ROAD,ANGLO-CHINESE SCHOOL (JUNIOR),16 WINSTEDT ROAD ANGLO-CHINESE SCHOOL (JUNIOR) SINGAPORE 227988,227988,28849.3350947062,32406.8353125956,1.30935041274966,103.840950265464,
ANGLO-CHINESE SCHOOL (PRIMARY),50,BARKER ROAD,ANGLO-CHINESE SCHOOL (PRIMARY),50 BARKER ROAD ANGLO-CHINESE SCHOOL (PRIMARY) SINGAPORE 309918,309918,28254.9829477305,33404.2340238672,1.31837054523521,103.835609732354,
ANGSANA PRIMARY SCHOOL,51,TAMPINES STREET 61,ANGSANA PRIMARY SCHOOL,51 TAMPINES STREET 61 ANGSANA PRIMARY SCHOOL SINGAPORE 528565,528565,39754.5222957945,38406.3864220977,1.36360590588314,103.9389409004,
ANG MO KIO PRIMARY SCHOOL,20,ANG MO KIO AVENUE 3,ANG MO KIO PRIMARY SCHOOL,20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920,569920,28702.4804675551,39038.1602696702,1.36932176584608,103.839630858752,
