Name,Description,DEPARTMENT,ALT_TELEPHONE_LINE,STREET_NAME,BUILDING_NAME,TYPE,TELEPHONE,UNIT,OPERATING_HOURS,FAX,HSE_BLK_NO,POSTAL_CODE,INC_CRC,FMEL_UPD_D,Latitude,Longitude
kml_1,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Airport Police Division</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Airport Boulevard Road</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Other Police Units</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>6546 0000</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td></td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>Not open to the public</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6545 2213</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>35</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>819645</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>F065965138E61D9B</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20181122165117</td> </tr></table></center>",Airport Police Division,,Airport Boulevard Road,,Other Police Units,6546 0000,,Not open to the public,6545 2213,35,819645,F065965138E61D9B,20181122165117,1.34321121291075,103.980695767351
kml_2,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Bukit Panjang North Neighbourhood Police Post</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Marsiling Drive</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Woodlands Police Divisional (LIMA)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 368 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-237</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>1200 to 2200 hrs</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6368 2383</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>27</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>730027</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>DB410BB7648C1A26</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20181123000717</td> </tr></table></center>",Bukit Panjang North Neighbourhood Police Post,,Marsiling Drive,,Woodlands Police Divisional (LIMA),1800 368 9999,#01-237,1200 to 2200 hrs,6368 2383,27,730027,DB410BB7648C1A26,20181123000717,1.44209906849748,103.77395488265
kml_3,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Choa Chu Kang Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Teck Whye Lane</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Jurong Police Divisional (JULIET)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 762 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-740</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6763 6615</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>116</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>680116</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>EDCBEC9A8126BB1D</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Choa Chu Kang Neighbourhood Police Post (Self-Help Kiosks Only),,Teck Whye Lane,,Jurong Police Divisional (JULIET),1800 762 9999,#01-740,24 Hrs (Automated),6763 6615,116,680116,EDCBEC9A8126BB1D,20230804153016,1.37898191536279,103.751779493678
kml_4,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Kallang Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Towner Road</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Central Police Divisional (ALPHA)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 299 6999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-400</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6391 2397</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>105</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>321105</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>806A87B90559D942</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Kallang Neighbourhood Police Post (Self-Help Kiosks Only),,Towner Road,,Central Police Divisional (ALPHA),1800 299 6999,#01-400,24 Hrs (Automated),6391 2397,105,321105,806A87B90559D942,20230804153016,1.32048559524288,103.861074549844
kml_5,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Moulmein Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Jalan Rajah</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Tanglin Police Divisional (ECHO)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 250 8999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-01</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6355 4312</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>101</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>321101</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>3286B7425C39AB64</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Moulmein Neighbourhood Police Post (Self-Help Kiosks Only),,Jalan Rajah,,Tanglin Police Divisional (ECHO),1800 250 8999,#01-01,24 Hrs (Automated),6355 4312,101,321101,3286B7425C39AB64,20230804153016,1.32871479107147,103.850545329224
kml_6,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Kim Keat Neighbourhood Police Post (Temporarily Closed)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Lorong 8 Toa Payoh</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Tanglin Police Divisional (ECHO)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 252 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-186</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>Temporarily Closed</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6355 4311</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>231</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>310231</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>AC4068F40201EB6A</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Kim Keat Neighbourhood Police Post (Temporarily Closed),,Lorong 8 Toa Payoh,,Tanglin Police Divisional (ECHO),1800 252 9999,#01-186,Temporarily Closed,6355 4311,231,310231,AC4068F40201EB6A,20230804153016,1.33696011222487,103.859489723743
kml_7,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Boon Teck Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Toa Payoh North</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Tanglin Police Divisional (ECHO)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 254 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-1231</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6355 4310</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>207</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>310207</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>4C612EDE303D8E24</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Boon Teck Neighbourhood Police Post (Self-Help Kiosks Only),,Toa Payoh North,,Tanglin Police Divisional (ECHO),1800 254 9999,#01-1231,24 Hrs (Automated),6355 4310,207,310207,4C612EDE303D8E24,20230804153016,1.3424019618541,103.845226516741
kml_8,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Buona Vista Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Holland Drive</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Clementi Police Divisional (DELTA)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 777 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-38/40</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6776 5857</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>13</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>271013</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>D47A8182CC71C136</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Buona Vista Neighbourhood Police Post (Self-Help Kiosks Only),,Holland Drive,,Clementi Police Divisional (DELTA),1800 777 9999,#01-38/40,24 Hrs (Automated),6776 5857,13,271013,D47A8182CC71C136,20230804153016,1.30936039819236,103.793205072854
kml_9,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Kampong Glam Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Beach Road</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Central Police Divisional (ALPHA)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 298 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td></td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6293 6498</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>17A</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>199596</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>DB6B3AC4F9176995</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Kampong Glam Neighbourhood Police Post (Self-Help Kiosks Only),,Beach Road,,Central Police Divisional (ALPHA),1800 298 9999,,24 Hrs (Automated),6293 6498,17A,199596,DB6B3AC4F9176995,20230804153016,1.30395745838131,103.863424892098
kml_10,"<center><table><tr><th colspan='2' align='center'><em>Attributes</em></th></tr><tr bgcolor=""#E3E3F3""> <th>DEPARTMENT</th> <td>Bukit Panjang South Neighbourhood Police Post (Self-Help Kiosks Only)</td> </tr><tr bgcolor=""""> <th>ALT_TELEPHONE_LINE</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>STREET_NAME</th> <td>Pending Road</td> </tr><tr bgcolor=""""> <th>BUILDING_NAME</th> <td></td> </tr><tr bgcolor=""#E3E3F3""> <th>TYPE</th> <td>Jurong Police Divisional (JULIET)</td> </tr><tr bgcolor=""""> <th>TELEPHONE</th> <td>1800 760 9999</td> </tr><tr bgcolor=""#E3E3F3""> <th>UNIT</th> <td>#01-00</td> </tr><tr bgcolor=""""> <th>OPERATING_HOURS</th> <td>24 Hrs (Automated)</td> </tr><tr bgcolor=""#E3E3F3""> <th>FAX</th> <td>6763 6614</td> </tr><tr bgcolor=""""> <th>HSE_BLK_NO</th> <td>124</td> </tr><tr bgcolor=""#E3E3F3""> <th>POSTAL_CODE</th> <td>670124</td> </tr><tr bgcolor=""""> <th>INC_CRC</th> <td>11D83B72A7C22434</td> </tr><tr bgcolor=""#E3E3F3""> <th>FMEL_UPD_D</th> <td>20230804153016</td> </tr></table></center>",Bukit Panjang South Neighbourhood Police Post (Self-Help Kiosks Only),,Pending Road,,Jurong Police Divisional (JULIET),1800 760 9999,#01-00,24 Hrs (Automated),6763 6614,124,670124,11D83B72A7C22434,20230804153016,1.37684018728339,103.771108884801
